| Team                 | Total Salary  |
|----------------------|---------------|
| Los Angeles Lakers   | 120,000,000   |
| Golden State Warriors| 130,000,000   |
| Brooklyn Nets        | 115,000,000   |
| Milwaukee Bucks      | 110,000,000   |
| Chicago Bulls        | 95,000,000    |
| Miami Heat           | 105,000,000   |
| Boston Celtics       | 125,000,000   |
| Philadelphia 76ers   | 112,000,000   |
| Dallas Mavericks     | 98,000,000    |
| Houston Rockets      | 117,000,000   |
| Toronto Raptors      | 108,000,000   |
| New York Knicks      | 102,000,000   |
| Phoenix Suns         | 94,000,000    |
| San Antonio Spurs    | 118,000,000   |
| Denver Nuggets       | 97,000,000    |
